Model,Feature Set,Feature Count,MAE,RMSE,R2,Fit Seconds,Predict Seconds
Histogram Gradient Boosting,polar_log10_r,4,0.09216738678008736,0.1417277644002823,0.9997097720635686,4.894181900000149,0.04393960000015795
Histogram Gradient Boosting,polar_raw_r,4,0.09698542552691838,0.15006257805461146,0.999674632517349,4.784169499999734,0.0432556000000659
Histogram Gradient Boosting,polar_raw_and_log10_r,5,0.09698542552691838,0.15006257805461146,0.999674632517349,4.920906100000138,0.043366299999888724
Histogram Gradient Boosting,polar_distance_decay,6,0.10319972149186483,0.15476751318735274,0.9996539100808797,4.974068100000295,0.04473630000029516
Extra Trees,polar_log10_r,4,0.09515826761356416,0.15930945489356166,0.9996332987048565,0.5244021000003158,0.0845393999998123
Extra Trees,polar_raw_r,4,0.0962034060201839,0.16067670207827014,0.9996269773878681,0.41727609999998094,0.08346469999969486
Extra Trees,polar_raw_and_log10_r,5,0.09723472243109975,0.16246116694071355,0.9996186458495123,0.664379899999858,0.15067599999974846
Extra Trees,polar_distance_decay,6,0.09893324310059774,0.16512744105842642,0.9996060257456795,0.70922309999969,0.09611659999973199
Histogram Gradient Boosting,cartesian_xy,3,0.1465956384593297,0.21591305019792187,0.9993264231911518,6.262039799999911,0.05058149999968009
Random Forest,polar_distance_decay,6,0.1718383591615239,0.28843662061994246,0.9987979289502158,0.919749199999842,0.10823230000005424
Random Forest,polar_log10_r,4,0.17231317864783127,0.2889160882307763,0.998793929228064,0.6550909999996293,0.12870410000004995
Random Forest,polar_raw_and_log10_r,5,0.17242045841170137,0.289203706235365,0.998791526728878,0.7698261000000457,0.09716910000042844
Random Forest,polar_raw_r,4,0.17253905694694943,0.28924633659333865,0.9987911704302274,0.5390609999999469,0.08422149999978501
Random Forest,cartesian_xy,3,0.20959791792692323,0.3709896733227455,0.9980113745982194,0.5044620000003306,0.08495969999967201
Extra Trees,cartesian_xy,3,0.26758202707029516,0.618214999785306,0.994477847233132,0.31949319999966974,0.09416440000040893
Polynomial Ridge,polar_distance_decay,6,2.0107981408983235,2.9321045454498216,0.8757809387051347,0.014548099999956321,0.0033948999998756335
Polynomial Ridge,polar_log10_r,4,2.0092710950423704,2.9325414844353417,0.8757439139716241,0.009116499999890948,0.0018277999997735606
Polynomial Ridge,polar_raw_and_log10_r,5,2.0132206485039625,2.93401066722553,0.8756193799225723,0.0129664999999477,0.0024972000001071137
Polynomial Ridge,polar_raw_r,4,2.023982608437438,2.9550937359443097,0.8738254213136377,0.008733199999824137,0.0016395000002376037
Polynomial Ridge,cartesian_xy,3,3.2573611711323744,4.503840035612543,0.7069138777574713,0.0037342999999054882,0.0007866000000831264
Ridge Regression,polar_distance_decay,6,3.49308297556424,4.897000155730543,0.653510900531838,0.004275400000096852,0.001385399999890069
Linear Regression,polar_distance_decay,6,3.493110962383949,4.897031310011886,0.6535064918518785,0.002850000000307773,0.0008961999997154635
Linear Regression,polar_raw_and_log10_r,5,3.4974315781237273,4.8992738846426445,0.6531890687347238,0.0037021999996795785,0.0008200000002034358
Ridge Regression,polar_raw_and_log10_r,5,3.497377420591258,4.89929088823702,0.6531866614218149,0.004013100000065606,0.0012525000001915032
Linear Regression,polar_log10_r,4,3.508266259817834,4.906306021779373,0.6521927691363057,0.0021400000000539876,0.0007562999999208841
Ridge Regression,polar_log10_r,4,3.508208985716956,4.906316903972201,0.6521912262608578,0.0035429999998086714,0.0011874000001625973
Linear Regression,polar_raw_r,4,3.643121450471504,5.053893886853171,0.6309530853730744,0.0027061999999205,0.0007177000002229761
Ridge Regression,polar_raw_r,4,3.6430813030469698,5.053899389558522,0.6309522817323243,0.003189499999734835,0.0012410000003910682
Linear Regression,cartesian_xy,3,5.694031613574297,7.191766902482188,0.25269042617099036,0.01697699999976976,0.0005043000001023756
Ridge Regression,cartesian_xy,3,5.69401737588441,7.191769873425206,0.2526898087386824,0.0034608000000844186,0.0006041000001459906
