generation,current_best_fitness,global_best_fitness,population_mean_fitness,population_median_fitness,population_std_fitness,current_best_expected_power_kw,global_best_expected_power_kw,population_mean_expected_power_kw,current_best_worst_noise_dba,global_best_worst_noise_dba,population_mean_worst_noise_dba,current_best_spacing_penalty,current_best_noise_penalty,current_best_border_penalty,population_mean_spacing_penalty,population_mean_noise_penalty,population_mean_border_penalty,zero_total_penalty_fraction
1,19088.693285518075,19088.693285518075,-9626.293992301908,15281.808201865275,42036.63111539488,19577.073552756105,19577.073552756105,18439.59486409399,36.23819352519832,36.23819352519832,39.66777304710645,0.0,488.38026723803074,0.0,26046.65447784209,2019.2343785538087,0.0,0.0
2,19088.693285518075,19088.693285518075,1641.5603748209073,16251.86574641877,29983.177123795715,19577.073552756105,19577.073552756105,18880.355595642763,36.23819352519832,36.23819352519832,39.70533864783435,0.0,488.38026723803074,0.0,15191.354159392935,2047.441061428922,0.0,0.0
3,19088.693285518075,19088.693285518075,-279.5379311451971,16136.868778796512,29083.000783085183,19577.073552756105,19577.073552756105,18648.578152506958,36.23819352519832,36.23819352519832,39.18722248912749,0.0,488.38026723803074,0.0,17171.108333570042,1757.0077500821094,0.0,0.0
4,19088.693285518075,19088.693285518075,-890.6356014269837,16010.009709704604,29001.407330542053,19577.073552756105,19577.073552756105,18670.66194805485,36.23819352519832,36.23819352519832,39.00855887142704,0.0,488.38026723803074,0.0,17906.134868820107,1655.162680661731,0.0,0.0
5,19088.693285518075,19088.693285518075,813.9954418091393,16176.875126743565,26983.222260121427,19577.073552756105,19577.073552756105,18579.352840661515,36.23819352519832,36.23819352519832,39.04750751686969,0.0,488.38026723803074,0.0,16086.159706915265,1679.1976919371116,0.0,0.0
6,19141.358037337493,19141.358037337493,587.58425964826,16632.997005520003,33284.72150493637,19634.264455406537,19634.264455406537,18860.373645958825,36.46622085835746,36.46622085835746,38.7128500725105,0.0,492.9064180690443,0.0,16707.031695742895,1565.7576905676697,0.0,0.0
7,19313.876007333718,19313.876007333718,-700.9746910344224,16870.41973861977,34779.73784431351,19792.40588214787,19792.40588214787,18614.36051888504,36.20009402914925,36.20009402914925,38.68678264037544,0.0,478.5298748141507,0.0,17778.47224324048,1536.862966678987,0.0,0.0
8,19317.0110342996,19317.0110342996,-1092.5823814568037,16433.05911633271,27380.765059156405,19803.818762866624,19803.818762866624,18746.90855242394,36.458198460179695,36.458198460179695,38.467730939147785,0.0,486.80772856702214,0.0,18408.009133127725,1431.4818007530228,0.0,0.0
9,19317.0110342996,19317.0110342996,-2902.9128582677736,16744.072810964128,32560.94237361122,19803.818762866624,19803.818762866624,18673.13577876993,36.458198460179695,36.458198460179695,38.40510842088651,0.0,486.80772856702214,0.0,20191.737928606948,1384.310708430757,0.0,0.0
10,19317.0110342996,19317.0110342996,4677.232816311428,16820.88019769913,22191.502645169832,19803.818762866624,19803.818762866624,18838.92609807019,36.458198460179695,36.458198460179695,38.33625726941073,0.0,486.80772856702214,0.0,12790.393877571629,1371.2994041871314,0.0,0.0
11,19317.0110342996,19317.0110342996,1798.1680611856757,16471.333975136567,29008.134418918646,19803.818762866624,19803.818762866624,18605.285443631976,36.458198460179695,36.458198460179695,38.49437318532416,0.0,486.80772856702214,0.0,15389.30364740883,1417.8137350374702,0.0,0.0
12,19317.0110342996,19317.0110342996,1838.0999192996096,16629.584463145,28842.822604211917,19803.818762866624,19803.818762866624,18849.818277928975,36.458198460179695,36.458198460179695,38.444844886631444,0.0,486.80772856702214,0.0,15586.050694602085,1425.6676640272824,0.0,0.0
13,19347.44580144094,19347.44580144094,1311.4940534680106,16748.689864474964,26404.34690338213,19807.761417217836,19807.761417217836,18979.614364302288,36.146734291744465,36.146734291744465,38.44104645415335,0.0,460.3156157768987,0.0,16253.41868512794,1414.7016257063408,0.0,0.0
