v,X,Y,r,cos_theta,sin_theta,dBA
10.0,100.0,0.0,100.0,1.0,0.0,44.735647052
10.0,112.88378916846897,0.0,112.88378916846897,1.0,0.0,44.269892616
10.0,127.42749857031336,0.0,127.42749857031336,1.0,0.0,43.750833196
10.0,143.8449888287663,0.0,143.8449888287663,1.0,0.0,43.177917976
10.0,162.3776739188721,0.0,162.3776739188721,1.0,0.0,42.549564252
10.0,183.2980710832436,0.0,183.2980710832436,1.0,0.0,41.867137424000006
10.0,206.913808111479,0.0,206.913808111479,1.0,0.0,41.132462072
10.0,233.57214690901213,0.0,233.57214690901213,1.0,0.0,40.348353568
10.0,263.6650898730358,0.0,263.6650898730358,1.0,0.0,39.5191453
10.0,297.63514416313194,0.0,297.63514416313194,1.0,0.0,38.650093512000005
10.0,335.9818286283781,0.0,335.9818286283781,1.0,0.0,37.74635412
10.0,379.26901907322497,0.0,379.26901907322497,1.0,0.0,36.81272095200001
10.0,428.1332398719396,0.0,428.1332398719396,1.0,0.0,35.854420403999995
10.0,483.2930238571752,0.0,483.2930238571752,1.0,0.0,34.875617204
10.0,545.559478116852,0.0,545.559478116852,1.0,0.0,33.880199516
10.0,615.8482110660267,0.0,615.8482110660267,1.0,0.0,32.871540096
10.0,695.1927961775606,0.0,695.1927961775606,1.0,0.0,31.852410360000004
10.0,784.7599703514607,0.0,784.7599703514607,1.0,0.0,30.82489426
10.0,885.8667904100823,0.0,885.8667904100823,1.0,0.0,29.790911360000003
10.0,1000.0,0.0,1000.0,1.0,0.0,28.751980748
10.0,-100.0,1.2246467991473532e-14,100.0,-1.0,1.2246467991473532e-16,44.227752564
10.0,-112.88378916846897,1.3824277108079016e-14,112.88378916846897,-1.0,1.224646799147353e-16,43.723627696
10.0,-127.42749857031336,1.5605367824748817e-14,127.42749857031336,-1.0,1.224646799147353e-16,43.17142363999999
10.0,-143.8449888287663,1.7615930514253545e-14,143.8449888287663,-1.0,1.2246467991473532e-16,42.574937736
10.0,-162.3776739188721,1.988552986177393e-14,162.3776739188721,-1.0,1.224646799147353e-16,41.934380008000005
10.0,-183.2980710832436,2.2447539604197825e-14,183.2980710832436,-1.0,1.224646799147353e-16,41.251118836
10.0,-206.913808111479,2.5339633280311242e-14,206.913808111479,-1.0,1.2246467991473532e-16,40.525740656
10.0,-233.57214690901213,2.8604338208209714e-14,233.57214690901213,-1.0,1.2246467991473535e-16,39.759192492
10.0,-263.6650898730358,3.2289660835991253e-14,263.6650898730358,-1.0,1.2246467991473532e-16,38.953712712
10.0,-297.63514416313194,3.644979266131405e-14,297.63514416313194,-1.0,1.224646799147353e-16,38.112519384
10.0,-335.9818286283781,4.1145907100141776e-14,335.9818286283781,-1.0,1.2246467991473532e-16,37.238986292
